id;carta;url
46;Nidoran ♀ 087/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Nidoran-F-30C087
47;Nidorina 088/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Nidorina-30C088
48;Ninetales 010/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Ninetales-30C010
49;Pikachu 052/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C052
50;Pikachu 042/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C042
51;Pikachu 037/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C037
52;Pikachu 031/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C031
53;Pikachu 051/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C051
54;Pikachu 028/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C028
55;Pikachu 030/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C030
56;Pikachu 045/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C045
57;Pikachu 040/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C040
58;Pikachu 026/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C026
59;Pikachu ex 053/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-ex-V1-30C053
60;Pikachu ex 054/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Pikachu-ex-V1-30C054
61;Pokétableta 126/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Poke-Pad-30C126
62;Raikou VIV 50;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Raikou-30CVIV-50
63;Reshiram 014/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Reshiram-30C014
64;Scraggy 094/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Scraggy-V1-30C094
65;Seismitoad 084/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Seismitoad-30C084
66;Snorlax 119/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Snorlax-30C119
67;Solgaleo 105/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Solgaleo-30C105
68;Sylveon ex 071/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Sylveon-ex-V1-30C071
69;Toxel 058/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Toxel-30C058
70;Toxtricity 059/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Toxtricity-30C059
71;Tropius 005/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Tropius-30C005
72;Victini 013/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Victini-30C013
73;Volbeat 003/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Volbeat-30C003
74;Vulpix 009/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Vulpix-30C009
75;Wishiwashi 022/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Wishiwashi-30C022
76;Xerneas 076/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Xerneas-30C076
77;Yveltal 100/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Yveltal-30C100
78;Zacian V SSH 138;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Zacian-V-30CSSH-138
79;Zacian 106/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Zacian-30C106
80;Zamazenta 107/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Zamazenta-30C107
81;Zeraora 057/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Zeraora-30C057
82;Zoroark de Hisui 123/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Hisuian-Zoroark-30C123
83;Zorua 095/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Zorua-30C095
84;Zorua de Hisui 122/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Hisuian-Zorua-V1-30C122
85;Zorua de Hisui 145/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Hisuian-Zorua-V2-30C145
86;Zweilous 098/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Zweilous-30C098
